Title,Authors/Editors,Publication,DOI,URL,Topic
"Influence of processing parameters on the evolution of melt pool, porosity, and microstructures in Ti-6Al-4V alloy parts fabricated by selective laser melting","J. J. S. Dilip, Shanshan Zhang, Chong Teng, Kai Zeng, Chris Robinson, Deepankar Pal & Brent Stucker ","Progress in Additive Manufacturing, Volume 2, pages 157–167, (2017)",https://doi.org/10.1007/s40964-017-0030-2,https://link.springer.com/article/10.1007/s40964-017-0030-2,Process Parameters and Optimization
Laser powder bed fusion of nickel alloy 625: Experimental investigations of effects of process parameters on melt pool size and shape with spatter analysis,"Luis E. Criales, Yiğit M. Arısoy, Brandon Lane, Shawn Moylan, Alkan Donmez, Tuğrul Özel","International Journal of Machine Tools and Manufacture
Volume 121
, October 2017, Pages 22-36",https://doi.org/10.1016/j.ijmachtools.2017.03.004,https://www.sciencedirect.com/science/article/abs/pii/S0890695516303108,Process Parameters and Optimization
Optimization of Laser Powder Bed Fusion Processing Using a Combination of Melt Pool Modeling and Design of Experiment Approaches: Density Control,"Morgan Letenneur,Alena Kreitcberg and Vladimir Brailovski ","J. Manuf. Mater. Process. 2019, 3(1), 21",https://doi.org/10.3390/jmmp3010021,https://www.mdpi.com/2504-4494/3/1/21,Process Parameters and Optimization
Effects of laser processing parameters on thermal behavior and melting/solidification mechanism during selective laser melting of TiC/Inconel 718 composites,"Qimin Shi, Dongdong Gu, Mujian Xia, Sainan Cao, Ting Rong","Optics & Laser Technology, Volume 84, October 2016, Pages 9-22",https://doi.org/10.1016/j.optlastec.2016.04.009,https://www.sciencedirect.com/science/article/abs/pii/S0030399215307349,Process Parameters and Optimization
"An investigation into the effect of process parameters on melt pool geometry, cell spacing, and grain refinement during laser powder bed fusion","Ali Keshavarzkermani, Ehsan Marzbanrad, Reza Esmaeilizadeh, Yahya Mahmoodkhani, Usman Ali, Pablo D. Enrique, Norman Y. Zhou, Ali Bonakdar, Ehsan Toyserkani





","Optics & Laser Technology, Volume 116, August 2019, Pages 83-91",https://doi.org/10.1016/j.optlastec.2019.03.012,https://www.sciencedirect.com/science/article/abs/pii/S0030399218320760,Process Parameters and Optimization
Influence of laser processing parameters on porosity in Inconel 718 during additive manufacturing,"Pankaj Kumar, Jano Farah, Javed Akram, Chong Teng, Jon Ginn & Mano Misra "," The International Journal of Advanced Manufacturing Technology, Volume 103, pages 1497–1507, (2019)",https://doi.org/10.1007/s00170-019-03655-9,https://link.springer.com/article/10.1007/s00170-019-03655-9,Process Parameters and Optimization
Melt pool simulation for the evaluation of process parameters in selective laser melting,"Thorsten Heeling, Michael Cloots, Konrad Wegener","Additive Manufacturing, Volume 14, March 2017, Pages 116-125",https://doi.org/10.1016/j.addma.2017.02.003,https://www.sciencedirect.com/science/article/abs/pii/S221486041630313X,Modeling and Simulation
"Determination of melt pool dimensions using DOE-FEM and RSM with process window during SLM of Ti6Al4V powder
Author links open overlay panel","Jyun-Rong Zhuang, Yee-Ting Lee, Wen-Hsin Hsieh, An-Shik Yang","Optics & Laser Technology, Volume 103, July 2018, Pages 59-76",https://doi.org/10.1016/j.optlastec.2018.01.013,https://www.sciencedirect.com/science/article/abs/pii/S0030399217306400,Melt Pool Dynamics
A novel heat source model for analysis of Melt Pool evolution in selective laser melting process,"Kang-Hyun Lee, Gun Jin Yun","Additive Manufacturing, Volume 36, December 2020, 101497",https://doi.org/10.1016/j.addma.2020.101497,https://www.sciencedirect.com/science/article/abs/pii/S2214860420308691,Modeling and Simulation
Laser-Induced Keyhole Defect Dynamics during Metal Additive Manufacturing,"Andrew M. Kiss, Anthony Y. Fong, Nicholas P. Calta, Vivek Thampy, Aiden A. Martin, Philip J. Depond, Jenny Wang, Manyalibo J. Matthews, Ryan T. Ott, Christopher J. Tassone, Kevin H. Stone, Matthew J. Kramer, Anthony van Buuren, Michael F. Toney, Johanna Nelson Weker","Advanced Engineering Materials, Volume 21, Issue 10, October 2019, 1900455",https://doi.org/10.1002/adem.201900455,https://onlinelibrary.wiley.com/doi/full/10.1002/adem.201900455?saml_referrer,Defects and Quality Assurance
